,Equity ,Sector,Qty ,"Value
 (Rs cr)",%,Unnamed: 5,company_name,company_code
0,UPL,Chemicals,"2,008.00",0.17,5.92,,birla-sl-emer-leaders-sr-3-dp,MBS1873
1,ICICI Bank,Banking & Financial Services,"5,246.00",0.15,5.34,,birla-sl-emer-leaders-sr-3-dp,MBS1873
2,L&T Finance,Banking & Financial Services,"10,551.00",0.15,5.32,,birla-sl-emer-leaders-sr-3-dp,MBS1873
3,IOC,Oil & Gas,"3,865.00",0.15,5.22,,birla-sl-emer-leaders-sr-3-dp,MBS1873
4,HPCL,Oil & Gas,"3,800.00",0.13,4.53,,birla-sl-emer-leaders-sr-3-dp,MBS1873
5,IGL,Oil & Gas,"1,046.00",0.11,3.89,,birla-sl-emer-leaders-sr-3-dp,MBS1873
6,Chennai Petro,Oil & Gas,"3,045.00",0.11,3.78,,birla-sl-emer-leaders-sr-3-dp,MBS1873
7,Atul,Chemicals,440.00,0.11,3.74,,birla-sl-emer-leaders-sr-3-dp,MBS1873
8,Muthoot Finance,Banking & Financial Services,"1,912.00",0.09,3.05,,birla-sl-emer-leaders-sr-3-dp,MBS1873
9,Blue Star,Consumer Durables,"1,348.00",0.08,2.84,,birla-sl-emer-leaders-sr-3-dp,MBS1873
10,Repco Home,Banking & Financial Services,937.00,0.08,2.71,,birla-sl-emer-leaders-sr-3-dp,MBS1873
11,DCB Bank,Banking & Financial Services,"3,733.00",0.07,2.6,,birla-sl-emer-leaders-sr-3-dp,MBS1873
12,Thomas Cook,Miscellaneous,"2,604.00",0.06,2.27,,birla-sl-emer-leaders-sr-3-dp,MBS1873
13,PNB,Banking & Financial Services,"4,572.00",0.06,2.2,,birla-sl-emer-leaders-sr-3-dp,MBS1873
14,BPCL,Oil & Gas,955.00,0.06,2.14,,birla-sl-emer-leaders-sr-3-dp,MBS1873
15,Shriram Trans,Banking & Financial Services,573.00,0.06,2.01,,birla-sl-emer-leaders-sr-3-dp,MBS1873
16,Arvind,Manufacturing,"1,583.00",0.06,2.0,,birla-sl-emer-leaders-sr-3-dp,MBS1873
17,India Cements,Cement & Construction,"2,859.00",0.06,1.98,,birla-sl-emer-leaders-sr-3-dp,MBS1873
18,Pennar Eng,Miscellaneous,"3,771.00",0.05,1.72,,birla-sl-emer-leaders-sr-3-dp,MBS1873
19,DLF,Retail & Real Estate,"2,526.00",0.05,1.69,,birla-sl-emer-leaders-sr-3-dp,MBS1873
20,Shemaroo Ent,Media & Entertainment,"1,200.00",0.04,1.55,,birla-sl-emer-leaders-sr-3-dp,MBS1873
21,Mahanagar Gas,Oil & Gas,369.00,0.04,1.28,,birla-sl-emer-leaders-sr-3-dp,MBS1873
22,TeamLease Ser.,Miscellaneous,259.00,0.03,1.22,,birla-sl-emer-leaders-sr-3-dp,MBS1873
23,GNFC,Chemicals,"1,189.00",0.03,1.12,,birla-sl-emer-leaders-sr-3-dp,MBS1873
24,Rel Capital,Banking & Financial Services,479.00,0.03,1.08,,birla-sl-emer-leaders-sr-3-dp,MBS1873
25,Heidelberg Cem,Cement & Construction,"2,463.00",0.03,1.08,,birla-sl-emer-leaders-sr-3-dp,MBS1873
26,VIP Industries,Manufacturing,952.00,0.02,0.61,,birla-sl-emer-leaders-sr-3-dp,MBS1873
27,Laurus Labs,Pharmaceuticals,153.00,0.01,0.33,,birla-sl-emer-leaders-sr-3-dp,MBS1873
28,Satin Credit,Miscellaneous,261.00,0.01,0.25,,birla-sl-emer-leaders-sr-3-dp,MBS1873
29,Deepak Nitrite,Chemicals,177.00,0.0,0.1,,birla-sl-emer-leaders-sr-3-dp,MBS1873
